Id;age;sex;tiempo;fea_p;fea_a;sur_p;sur_a;dis_p;dis_a;ang_p;ang_a;bor_p;bor_a;sle_p;sle_a;sad_p;sad_a;exc_p;exc_a;cal_p;cal_a;hap_p;hap_a;age_c
84;22;1;6;-3;3;0;3;-2;1;-3;1;-2;-3;-1;-3;-3;-1;1;2;0;-1;3;3;0
85;22;1;7;-2;-2;0;2;-1;1;-2;3;0;-2;-1;-3;-3;0;2;3;0;-1;3;3;0
86;21;0;7;-3;2;0;1;-2;-2;-3;3;-1;-2;0;-3;-3;0;3;3;0;-1;3;3;0
87;23;1;7;-1;3;0;2;-2;0;-1;1;0;-2;0;-3;-1;0;2;2;0;0;3;1;0
88;23;1;7;0;3;1;2;-2;0;-3;2;-1;-3;0;-3;-3;2;2;3;1;-2;3;1;0
89;21;1;7;-2;3;1;3;-2;1;-3;2;-1;-3;0;-3;-3;-1;2;3;0;0;3;3;0
90;20;1;7;-2;3;1;2;-2;2;-2;2;-1;-2;0;-3;-3;0;3;2;1;-1;3;1;0
91;21;1;7;-2;2;2;1;-1;1;-2;0;-1;-2;-1;-3;-3;-1;2;1;0;-1;2;1;0
92;21;1;8;-1;2;0;1;-1;-1;0;2;-1;-2;-2;-3;-3;-2;2;2;1;-1;3;2;0
93;28;0;5;-1;3;0;3;-1;1;-2;1;-2;-3;0;-3;-3;-3;3;1;1;-2;3;1;0
94;59;1;0;-1;2;1;2;-2;0;-2;0;-2;-1;1;-3;-3;-2;2;3;1;-1;3;0;1
95;58;0;0;-1;3;0;1;-2;1;-1;3;-3;-3;1;-3;-3;0;2;1;1;-1;2;-1;1
96;51;0;0;0;3;0;2;-1;0;-3;1;-1;-1;-1;-2;-2;-3;3;1;2;-3;2;0;1
97;52;1;0;-1;2;-1;3;-2;1;-3;0;-2;-3;0;-2;-2;-2;3;2;1;-2;3;1;1
98;26;1;0;0;2;0;2;-2;1;-2;1;-2;-2;1;-3;-3;-2;2;1;2;-2;3;0;0
99;32;0;0;-1;3;0;3;-1;0;-2;0;-3;-3;1;-3;-2;-1;2;2;1;-2;3;1;1
100;40;1;0;-1;3;0;2;-1;1;-2;0;-2;-1;1;-3;-3;-2;3;1;2;-3;3;1;1
